tconst	nconst	category	job	characters
tt0000421	nm0954087	actor	\N	\N
tt0000421	nm0349785	director	\N	\N
tt0000422	nm0954087	actor	\N	["Traveler"]
tt0000422	nm0349785	director	\N	\N
tt0000423	nm0617588	actor	\N	\N
tt0000424	nm0349785	director	\N	\N
tt0000425	nm0168621	actor	\N	\N
tt0000425	nm0783152	producer	producer	\N
tt0000426	nm0168621	actor	\N	\N
tt0000426	nm0002615	producer	producer	\N
tt0000427	nm0349785	director	\N	\N
tt0000428	nm0005717	director	\N	\N
tt0000429	nm0349785	director	\N	\N
tt0000430	nm10102653	actor	\N	["Chess Player"]
tt0000430	nm0666972	director	\N	\N
tt0000431	nm0349785	director	\N	\N
tt0000432	nm0954087	actor	\N	\N
tt0000432	nm0349785	director	\N	\N
tt0000433	nm0349785	director	\N	\N
