tconst	nconst	category	job	characters
tt0000112	nm0005690	director	\N	\N
tt0000112	nm0410331	writer	story "Rip Van Winkle"	\N
tt0000112	nm0005658	cinematographer	\N	\N
tt0000113	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000113	nm0005690	director	\N	\N
tt0000113	nm0410331	writer	story "Rip Van Winkle"	\N
tt0000113	nm0005658	cinematographer	\N	\N
tt0000114	nm0617588	director	\N	\N
tt0000115	nm0617588	director	\N	\N
tt0000116	nm0617588	director	\N	\N
tt0000117	nm0234288	director	\N	\N
tt0000118	nm0617588	director	\N	\N
tt0000119	nm0617588	director	\N	\N
tt0000120	nm0617588	director	\N	\N
tt0000121	nm0832461	actor	\N	["The Soldier"]
tt0000121	nm0780534	actress	\N	["The Girl"]
tt0000121	nm5718242	actress	\N	["The Woman"]
tt0000121	nm0609678	director	\N	\N
tt0000121	nm0666972	producer	producer	\N
tt0000122	nm0617588	director	\N	\N
tt0000123	nm0617588	self	\N	["Self (stage magician)"]
tt0000124	nm0617588	director	\N	\N
tt0000125	nm0666972	producer	producer	\N
tt0000126	nm0617588	director	\N	\N
tt0000127	nm0617588	director	\N	\N
tt0000128	nm0617588	director	\N	\N
tt0000129	nm0617588	director	\N	\N
tt0000130	nm0617588	director	\N	\N
tt0000131	nm0617588	actor	\N	["L'homme qui essaie de dormir"]
tt0000132	nm9342429	actress	\N	["La Serveuse"]
tt0000132	nm0577734	actor	\N	["Un joueur de cartes"]
tt0000132	nm0617588	actor	\N	["Un joueur de cartes"]
tt0000132	nm3029234	actress	\N	["La petite fille"]
tt0000133	nm0617588	director	\N	\N
tt0000135	nm0005690	director	\N	\N
tt0000135	nm0005658	cinematographer	\N	\N
tt0000137	nm0349785	director	\N	\N
tt0000138	nm0617588	actor	\N	["Inn Guest"]
tt0000139	nm0349785	director	\N	\N
tt0000140	nm0349785	director	\N	\N
tt0000141	nm0349785	director	\N	\N
tt0000142	nm0168621	actor	\N	\N
tt0000142	nm0924920	director	\N	\N
tt0000142	nm0374658	cinematographer	\N	\N
tt0000143	nm0349785	director	\N	\N
tt0000144	nm0349785	director	\N	\N
tt0000145	nm0349785	director	\N	\N
tt0000146	nm0349785	director	\N	\N
tt0000147	nm0179163	self	\N	["Self"]
tt0000147	nm0280615	self	\N	["Self"]
tt0000147	nm4082222	self	\N	["Self - Sullivan's Manager"]
tt0000147	nm4081458	self	\N	["Self - Referee"]
tt0000147	nm0714557	director	\N	\N
tt0000147	nm0103755	producer	producer	\N
tt0000147	nm2256592	self	\N	["Self - Master of Ceremonies"]
tt0000148	nm0349785	director	\N	\N
tt0000149	nm0617588	director	\N	\N
tt0000150	nm0349785	director	\N	\N
tt0000151	nm0194945	actress	\N	\N
tt0000151	nm0617588	director	\N	\N
tt0000152	nm0617588	actor	\N	\N
tt0000153	nm0808310	director	\N	\N
tt0000154	nm0010291	director	\N	\N
tt0000155	nm0617588	director	\N	\N
tt0000156	nm0617588	director	\N	\N
tt0000157	nm0349785	director	\N	\N
tt0000158	nm0349785	director	\N	\N
tt0000159	nm0617588	director	\N	\N
tt0000160	nm0095816	director	\N	\N
tt0000160	nm0666972	producer	producer	\N
tt0000161	nm0349785	director	\N	\N
tt0000162	nm0698645	director	\N	\N
tt0000162	nm0525908	producer	producer	\N
tt0000162	nm0525910	producer	producer	\N
tt0000163	nm0349785	director	\N	\N
tt0000164	nm0349785	director	\N	\N
tt0000165	nm0024876	actor	\N	\N
tt0000165	nm0278321	actor	\N	\N
tt0000165	nm0005717	actor	\N	\N
tt0000165	nm0556371	actor	\N	\N
tt0000165	nm0083196	cinematographer	\N	\N
tt0000165	nm0563758	actor	\N	\N
tt0000166	nm0005717	director	\N	\N
tt0000167	nm0422809	director	\N	\N
tt0000168	nm0005717	director	\N	\N
tt0000169	nm0698645	director	\N	\N
tt0000169	nm0677318	producer	producer	\N
tt0000170	nm0666972	director	\N	\N
tt0000171	nm0349785	director	\N	\N
tt0000172	nm0809419	actress	\N	\N
tt0000172	nm0338379	actor	\N	["Professor"]
tt0000172	nm0808310	director	\N	\N
tt0000173	nm0085865	director	\N	\N
tt0000174	nm0841389	actor	\N	["Sausage Vendor"]
tt0000174	nm1024447	actor	\N	["Sticker"]
tt0000174	nm0471818	director	\N	\N
tt0000175	nm0795060	director	\N	\N
tt0000175	nm0666972	producer	producer	\N
tt0000176	nm0666972	producer	producer	\N
tt0000177	nm0085865	actor	\N	["The Burglar"]
tt0000177	nm0807236	cinematographer	\N	\N
tt0000178	nm0692105	director	\N	\N
tt0000179	nm0617588	director	\N	\N
tt0000180	nm0349785	director	\N	\N
tt0000181	nm0809419	actress	\N	["Cinderella"]
tt0000181	nm0808310	director	\N	\N
tt0000181	nm0674518	writer	story "Cendrillon"	\N
tt0000182	nm0666972	director	\N	\N
tt0000183	nm0808310	director	\N	\N
tt0000183	nm0241416	writer	novel	\N
tt0000184	nm0924920	director	\N	\N
tt0000185	nm0349785	director	\N	\N
tt0000186	nm0617588	director	\N	\N
tt0000187	nm0349785	director	\N	\N
tt0000188	nm0666972	director	\N	\N
tt0000189	nm0005717	director	\N	\N
tt0000190	nm0841389	actor	\N	["Old Philanderer"]
tt0000190	nm1024447	actor	\N	["Man with Broom"]
tt0000190	nm0471818	director	\N	\N
tt0000191	nm0349785	director	\N	\N
tt0000192	nm0518132	self	\N	["Self"]
tt0000192	nm0924920	director	\N	\N
tt0000192	nm0238900	writer	novel "Trilby"	\N
tt0000192	nm0374658	cinematographer	\N	\N
tt0000193	nm0349785	director	\N	\N
tt0000194	nm0378408	director	\N	\N
tt0000195	nm0349785	director	\N	\N
tt0000196	nm0808310	director	\N	\N
tt0000196	nm0324473	writer	novel	\N
tt0000197	nm0349785	director	\N	\N
tt0000198	nm0349785	director	\N	\N
tt0000199	nm0666972	producer	producer	\N
tt0000200	nm1380868	self	\N	["Self"]
tt0000201	nm0168621	self	\N	["Self"]
tt0000201	nm0005690	director	\N	\N
tt0000201	nm0249379	producer	producer	\N
tt0000202	nm0349785	director	\N	\N
tt0000203	nm0349785	director	\N	\N
tt0000204	nm0349785	director	\N	\N
tt0000205	nm0349785	director	\N	\N
tt0000206	nm0005717	director	\N	\N
tt0000207	nm0666972	producer	producer	\N
tt0000208	nm0808310	director	\N	\N
tt0000209	nm0808310	director	\N	\N
tt0000210	nm0617588	actor	\N	\N
tt0000211	nm0194945	actress	\N	["Phoebe - la bonne fée"]
tt0000211	nm0617588	actor	\N	["L'astronome"]
tt0000212	nm0795060	director	\N	\N
tt0000213	nm0349785	director	\N	\N
tt0000214	nm0085865	actor	\N	["Hand that tears down the Spanish flag"]
tt0000214	nm0807236	producer	producer	\N
tt0000215	nm0841389	actor	\N	\N
tt0000215	nm0471818	director	\N	\N
tt0000216	nm1997201	self	\N	["Self"]
tt0000216	nm0454367	self	\N	["Self"]
tt0000216	nm0005717	director	\N	\N
tt0000217	nm0808310	director	\N	\N
tt0000218	nm0617588	actor	\N	["Fernand Labori"]
tt0000219	nm0808310	director	\N	\N
tt0000220	nm0666972	producer	producer	\N
tt0000221	nm0182052	director	\N	\N
tt0000222	nm0349785	director	\N	\N
tt0000223	nm0349785	director	\N	\N
tt0000224	nm0666972	producer	producer	\N
tt0000225	nm0207305	writer	story	\N
tt0000226	nm0378408	producer	producer	\N
tt0000227	nm4427898	director	\N	\N
tt0000227	nm0666972	producer	producer	\N
tt0000228	nm0349785	director	\N	\N
tt0000229	nm0857203	writer	poem	\N
tt0000229	nm0924920	producer	producer	\N
tt0000229	nm0595213	composer	\N	\N
tt0000230	nm1333156	actress	\N	["Cinderella"]
tt0000230	nm0076933	actress	\N	["The Fairy Godmother"]
tt0000230	nm1778224	actor	\N	["Prince Charming"]
tt0000230	nm0194945	actress	\N	["Fairy Godmother"]
tt0000230	nm0617588	director	\N	\N
tt0000230	nm0674518	writer	story "Cinderella"	\N
tt0000230	nm1778292	actor	\N	["Party Guest"]
tt0000231	nm0795060	director	\N	\N
tt0000231	nm0666972	producer	producer	\N
tt0000232	nm0349785	director	\N	\N
tt0000233	nm0005717	director	\N	\N
tt0000234	nm0194945	actress	\N	["Cleopatre"]
tt0000234	nm0617588	actor	\N	["Tomb Digger"]
tt0000235	nm0194945	actress	\N	["Ayesha"]
tt0000235	nm0617588	actor	\N	["The Devil"]
tt0000235	nm0353584	writer	novel "She"	\N
tt0000236	nm0349785	director	\N	\N
tt0000237	nm0349785	director	\N	\N
tt0000238	nm0349785	director	\N	\N
tt0000239	nm0298291	self	\N	["Self"]
tt0000239	nm0349785	director	\N	\N
tt0000240	nm0005658	cinematographer	\N	\N
tt0000240	nm0555522	cinematographer	\N	\N
tt0000241	nm0349785	director	\N	\N
tt0000242	nm0617588	actor	\N	["The Devil"]
tt0000243	nm0349785	director	\N	\N
tt0000244	nm0349785	director	\N	\N
tt0000245	nm0002615	producer	producer	\N
tt0000246	nm0617588	actor	\N	["Magician"]
tt0000247	nm6010696	production_designer	\N	\N
tt0000247	nm0002504	actor	\N	["King John"]
tt0000247	nm0784327	actor	\N	["Prince Henry"]
tt0000247	nm2259742	actor	\N	["Arthur"]
tt0000247	nm0924893	actor	\N	["Earl of Pembroke"]
tt0000247	nm2156608	director	\N	\N
tt0000247	nm0005690	director	\N	\N
tt0000247	nm0000636	writer	play	\N
tt0000247	nm0744231	composer	\N	\N
tt0000247	nm6114857	composer	\N	\N
tt0000248	nm0809419	actress	\N	["Wife"]
tt0000248	nm0808310	actor	\N	["Husband"]
tt0000249	nm0808310	director	\N	\N
tt0000250	nm0005717	director	\N	\N
tt0000251	nm0177862	director	\N	\N
tt0000252	nm0349785	director	\N	\N
tt0000253	nm0095816	director	\N	\N
tt0000253	nm0666972	producer	producer	\N
tt0000254	nm0349785	director	\N	\N
tt0000255	nm0349785	director	\N	\N
tt0000256	nm0005658	cinematographer	\N	\N
tt0000257	nm0349785	director	\N	\N
tt0000258	nm0349785	director	\N	\N
tt0000259	nm0349785	director	\N	\N
tt0000260	nm0349785	director	\N	\N
tt0000261	nm0617588	actor	\N	["The Sleeping Man"]
tt0000262	nm0349785	director	\N	\N
tt0000264	nm0617588	actor	\N	["L'illusioniste"]
tt0000265	nm0335788	actor	\N	["Chimmie Hicks"]
tt0000265	nm0035502	cinematographer	\N	\N
tt0000266	nm0035502	cinematographer	\N	\N
tt0000267	nm0349785	director	\N	\N
tt0000268	nm0349785	director	\N	\N
tt0000269	nm0666972	director	\N	\N
tt0000270	nm0349785	director	\N	\N
tt0000271	nm0349785	director	\N	\N
tt0000272	nm0808310	director	\N	\N
tt0000273	nm1040375	actor	\N	["The Officer"]
tt0000273	nm1894886	actor	\N	["The Missionary"]
tt0000273	nm1895457	actress	\N	["The Girl"]
tt0000273	nm0932055	director	\N	\N
tt0000274	nm0349785	director	\N	\N
tt0000275	nm0349785	director	\N	\N
tt0000276	nm0349785	director	\N	\N
tt0000277	nm0349785	director	\N	\N
tt0000278	nm0168621	self	\N	["Self"]
tt0000279	nm0168621	actor	\N	\N
tt0000279	nm0555522	cinematographer	\N	\N
tt0000280	nm0168621	actor	\N	\N
tt0000280	nm0555522	cinematographer	\N	\N
tt0000281	nm0168621	actor	\N	\N
tt0000281	nm0035502	cinematographer	\N	\N
tt0000282	nm0349785	director	\N	\N
tt0000283	nm0349785	director	\N	\N
tt0000284	nm0349785	director	\N	\N
tt0000285	nm0095816	director	\N	\N
tt0000285	nm0666972	producer	producer	\N
tt0000286	nm0349785	director	\N	\N
tt0000287	nm0085865	director	\N	\N
tt0000287	nm0807236	director	\N	\N
tt0000288	nm0349785	director	\N	\N
tt0000289	nm0349785	director	\N	\N
tt0000290	nm0349785	director	\N	\N
tt0000291	nm0349785	director	\N	\N
tt0000292	nm0349785	director	\N	\N
tt0000293	nm0349785	director	\N	\N
tt0000294	nm0349785	director	\N	\N
tt0000295	nm0349785	director	\N	\N
tt0000296	nm10501864	actress	\N	["Dancer"]
tt0000296	nm0349785	director	\N	\N
tt0000297	nm0349785	director	\N	\N
tt0000298	nm0349785	director	\N	\N
tt0000299	nm0349785	director	\N	\N
tt0000300	nm0085865	actor	\N	["Chalk-Talk Artist"]
tt0000300	nm0807236	producer	producer	\N
tt0000301	nm0692105	director	\N	\N
tt0000301	nm0324473	writer	play	\N
tt0000302	nm0349785	director	\N	\N
tt0000303	nm0349785	director	\N	\N
tt0000304	nm2940072	actor	\N	["Willy - the little grandson"]
tt0000304	nm0808310	director	\N	\N
tt0000305	nm0112631	actress	\N	\N
tt0000305	nm0349785	director	\N	\N
tt0000306	nm0076800	actress	\N	["Hamlet"]
tt0000306	nm0536252	actor	\N	["Laertes"]
tt0000306	nm1267013	actress	\N	["A page"]
tt0000306	nm0561109	director	\N	\N
tt0000306	nm0000636	writer	play "Hamlet"	\N
